word,count
esta,6
brain,6
gopconvention,6
earn,6
ultimate,6
water,6
bowl,6
brussels,6
alicia,6
passing,6
haters,6
holding,6
reading,6
politically,6
independent,6
illinois,6
finish,6
prejudice,6
jerryjrfalwell,6
broke,6
month,6
impact,6
touch,6
local,6
rid,6
barrier,6
lo,6
mean,6
daughters,6
trash,6
lincoln,6
reagan,6
tuitionfree,6
nuestro,6
sachs,6
mouth,6
tragedy,6
votar,6
basic,6
recommit,6
knowing,6
youtube,6
mention,6
handle,6
grand,6
cities,6
ticket,6
dictators,6
inspired,6
announce,6
doors,6
begins,6
referred,6
sentedcruz,6
stood,6
treats,6
podcast,6
conduct,6
invest,6
joining,6
newyorkvalues,6
stupid,6
neverhillary,6
lovetrumpshate,6
fail,6
january,6
changed,6
happens,6
commitment,6
nbcnews,6
actions,6
launched,6
healthcare,6
bills,6
trouble,6
irrelevant,6
july,6
sticker,6
shell,6
reported,6
events,6
officially,6
scranton,6
judgejeanine,6
discussing,6
various,6
feeling,6
conversation,6
hiring,6
games,6
disrespect,6
sued,6
science,6
overrated,6
etc,6
loose,6
bangladesh,6
phone,6
eyes,6
chapter,6
preventing,6
demagogue,6
bankrupted,6
driving,6
rouge,6
available,6
scott,6
death,6
wealth,6
answers,6
sarah,6
returned,6
benefit,6
glad,6
covered,6
ct,6
floor,6
stamina,6
trusted,6
lawsuits,6
relief,6
sometimes,6
este,6
violent,6
oklahoma,6
aqu,6
heroes,6
bin,6
mistakes,6
meetthepress,6
kick,6
location,6
entering,6
ability,6
hrc,6
hired,6
unites,6
female,6
largest,6
tricks,6
careful,6
newday,6
concerned,6
choose,6
unable,6
likes,6
fights,6
labor,6
thrilled,6
accepted,6
creating,6
defending,6
admit,6
tells,5
anticipated,5
director,5
liberal,5
partys,5
peaceful,5
twice,5
phyllis,5
illegals,5
devastated,5
august,5
davidwohl,5
brother,5
missing,5
expensive,5
disability,5
background,5
belief,5
memorial,5
shewon,5
stiffing,5
chosen,5
anger,5
demplatform,5
rowanne,5
shut,5
choker,5
uk,5
forgot,5
guarantee,5
trumpturnberry,5
thebriefing,5
wireless,5
management,5
scared,5
sacrifices,5
basis,5
george,5
scammed,5
marks,5
stuff,5
turnout,5
estate,5
africanamericans,5
details,5
falling,5
reached,5
space,5
zuckerman,5
hoax,5
massachusetts,5
patrol,5
millones,5
undocumented,5
organizers,5
quote,5
pat,5
nueva,5
violation,5
casino,5
msm,5
guess,5
opinion,5
appreciated,5
advertising,5
refuse,5
syrian,5
fiction,5
usag,5
feels,5
impossible,5
flying,5
dropping,5
changemaker,5
noon,5
worried,5
commercials,5
impressed,5
eastern,5
critical,5
throughout,5
focus,5
challenge,5
cameras,5
rep,5
beating,5
generations,5
april,5
desperately,5
id,5
onesided,5
church,5
paytoplay,5
example,5
carry,5
gained,5
cannon,5
pope,5
app,5
megan,5
jerrybrowngov,5
kelly,5
ser,5
clewandowski,5
supporter,5
departing,5
attending,5
innocent,5
nominating,5
organization,5
simply,5
caring,5
reproductive,5
chrismurphyct,5
blame,5
apply,5
stuart,5
affected,5
brilliant,5
terrific,5
hypocrite,5
caused,5
helps,5
efforts,5
decent,5
benghazi,5
az,5
roll,5
bob,5
positions,5
syria,5
block,5
bank,5
fort,5
contributions,5
holds,5
breitbart,5
deplorable,5
diego,5
laden,5
dying,5
throw,5
secretaries,5
seat,5
mistake,5
nominate,5
approach,5
effective,5
